user_id,session_id,pageview_id,session_duration,event_type,event_time
user_45,session_756,page_239,109,purchase,2025-03-09T10:41:26.125774
user_25,session_784,page_4814,395,video_play,2025-03-09T17:04:26.125777
user_26,session_794,page_1954,321,page_view,2025-03-09T22:52:26.125779
user_35,session_981,page_1899,393,video_play,2025-03-09T00:51:26.125781
user_90,session_465,page_4067,300,ad_click,2025-03-09T00:55:26.125783
user_89,session_858,page_219,128,page_view,2025-03-09T12:52:26.125785
user_48,session_518,page_456,305,purchase,2025-03-09T08:47:26.125787
user_7,session_59,page_2927,338,ad_click,2025-03-09T20:52:26.125789
user_61,session_647,page_4080,582,form_submit,2025-03-09T11:43:26.125791
user_25,session_706,page_1170,99,ad_click,2025-03-09T16:31:26.125793
user_40,session_388,page_4489,371,video_play,2025-03-09T19:00:26.125795
user_26,session_512,page_291,99,form_submit,2025-03-09T22:30:26.125797
user_53,session_943,page_3316,107,page_view,2025-03-09T20:38:26.125799
user_80,session_931,page_4484,460,page_view,2025-03-09T01:01:26.125801
user_83,session_602,page_1285,481,ad_click,2025-03-09T08:49:26.125803
user_43,session_758,page_4592,548,form_submit,2025-03-09T17:08:26.125805
user_84,session_694,page_3454,534,ad_click,2025-03-09T06:31:26.125806
user_40,session_189,page_2342,330,page_view,2025-03-09T10:24:26.125808
user_65,session_965,page_754,431,purchase,2025-03-09T03:50:26.125810
user_50,session_245,page_4129,411,video_play,2025-03-09T09:45:26.125812
user_58,session_641,page_4541,585,ad_click,2025-03-09T16:45:26.125814
user_41,session_817,page_455,172,ad_click,2025-03-09T15:19:26.125816
user_84,session_732,page_3066,186,video_play,2025-03-09T19:25:26.125818
user_38,session_172,page_3594,62,page_view,2025-03-09T04:31:26.125820
user_31,session_598,page_1521,441,page_view,2025-03-09T01:58:26.125822
user_75,session_218,page_398,400,page_view,2025-03-09T23:43:26.125824
user_54,session_806,page_2770,95,form_submit,2025-03-09T01:11:26.125826
user_86,session_668,page_4808,95,video_play,2025-03-09T20:00:26.125827
user_85,session_704,page_1143,460,purchase,2025-03-09T10:01:26.125829
user_30,session_81,page_978,553,video_play,2025-03-09T08:21:26.125831
user_4,session_889,page_1790,237,purchase,2025-03-09T17:06:26.125833
user_58,session_760,page_1756,290,purchase,2025-03-09T13:16:26.125835
user_53,session_959,page_4637,292,purchase,2025-03-09T16:10:26.125837
user_69,session_486,page_3508,422,purchase,2025-03-09T06:09:26.125839
user_37,session_86,page_1833,436,form_submit,2025-03-09T15:06:26.125841
user_90,session_900,page_4784,233,form_submit,2025-03-09T20:37:26.125843
user_39,session_898,page_1756,292,ad_click,2025-03-09T22:21:26.125845
user_56,session_91,page_1520,418,ad_click,2025-03-09T02:10:26.125847
user_34,session_780,page_480,546,page_view,2025-03-09T20:04:26.125848
user_72,session_533,page_4624,132,page_view,2025-03-09T08:08:26.125850
