user_id,session_id,pageview_id,session_duration,event_type,event_time
user_86,session_424,page_1604,112,video_play,2025-03-09T08:45:26.127511
user_69,session_126,page_863,306,page_view,2025-03-09T19:41:26.127514
user_53,session_905,page_2214,512,page_view,2025-03-09T17:39:26.127516
user_8,session_295,page_1676,150,ad_click,2025-03-09T16:19:26.127518
user_99,session_851,page_4285,564,purchase,2025-03-09T05:40:26.127520
user_72,session_935,page_785,280,purchase,2025-03-09T09:16:26.127522
user_71,session_320,page_4702,337,page_view,2025-03-09T01:38:26.127523
user_58,session_649,page_3647,201,ad_click,2025-03-09T18:02:26.127525
user_4,session_212,page_2725,328,ad_click,2025-03-09T11:50:26.127527
user_57,session_118,page_2903,387,video_play,2025-03-09T10:59:26.127529
user_45,session_239,page_4578,437,ad_click,2025-03-09T01:07:26.127530
user_91,session_584,page_3543,112,ad_click,2025-03-09T11:08:26.127532
user_25,session_774,page_871,316,purchase,2025-03-09T01:45:26.127534
user_55,session_290,page_1935,406,purchase,2025-03-09T01:59:26.127536
user_8,session_230,page_4342,253,video_play,2025-03-09T02:54:26.127537
user_14,session_763,page_722,164,ad_click,2025-03-09T13:26:26.127539
user_16,session_520,page_550,81,page_view,2025-03-09T03:29:26.127541
user_12,session_398,page_1316,310,form_submit,2025-03-09T16:08:26.127543
user_78,session_96,page_668,156,purchase,2025-03-09T02:58:26.127544
user_26,session_562,page_4021,572,page_view,2025-03-09T07:03:26.127546
user_74,session_837,page_167,576,purchase,2025-03-09T10:35:26.127548
user_67,session_475,page_2926,502,video_play,2025-03-09T17:14:26.127550
user_83,session_903,page_4673,423,form_submit,2025-03-09T19:16:26.127551
user_46,session_744,page_4156,208,ad_click,2025-03-09T14:21:26.127553
user_29,session_225,page_2809,506,purchase,2025-03-10T00:04:26.127555
user_93,session_895,page_689,136,video_play,2025-03-09T18:53:26.127557
user_17,session_216,page_4732,81,ad_click,2025-03-09T12:51:26.127558
user_77,session_499,page_1866,147,form_submit,2025-03-09T23:45:26.127560
user_46,session_689,page_2691,433,form_submit,2025-03-09T14:34:26.127562
user_85,session_48,page_598,94,purchase,2025-03-09T20:52:26.127563
user_59,session_912,page_3431,258,video_play,2025-03-09T14:02:26.127565
user_64,session_514,page_3228,339,purchase,2025-03-09T18:58:26.127567
user_88,session_291,page_2853,182,purchase,2025-03-09T07:50:26.127569
user_5,session_399,page_235,158,video_play,2025-03-09T23:28:26.127570
user_56,session_599,page_3836,71,ad_click,2025-03-09T08:59:26.127572
user_25,session_177,page_4769,205,ad_click,2025-03-10T00:03:26.127574
user_53,session_690,page_265,90,page_view,2025-03-09T07:29:26.127576
user_33,session_810,page_986,490,video_play,2025-03-09T02:15:26.127578
user_72,session_663,page_1299,39,ad_click,2025-03-09T17:37:26.127579
user_53,session_321,page_4583,373,purchase,2025-03-09T16:28:26.127581
user_95,session_298,page_299,69,ad_click,2025-03-09T09:46:26.127583
user_52,session_892,page_3477,59,form_submit,2025-03-10T00:25:26.127584
user_33,session_68,page_3137,230,form_submit,2025-03-09T11:00:26.127586
user_93,session_673,page_717,563,page_view,2025-03-09T12:48:26.127588
user_78,session_555,page_2389,529,page_view,2025-03-09T03:18:26.127590
user_68,session_507,page_4572,463,page_view,2025-03-09T23:37:26.127591
user_32,session_50,page_4727,355,page_view,2025-03-09T11:04:26.127593
user_87,session_800,page_2347,358,ad_click,2025-03-09T02:40:26.127595
user_25,session_215,page_738,94,form_submit,2025-03-09T23:18:26.127596
user_1,session_128,page_3241,37,form_submit,2025-03-09T23:31:26.127598
user_45,session_657,page_3514,23,video_play,2025-03-10T00:09:26.127600
user_39,session_450,page_677,565,ad_click,2025-03-09T07:08:26.127601
user_49,session_187,page_3872,394,page_view,2025-03-09T23:38:26.127603
user_86,session_7,page_4215,20,page_view,2025-03-09T11:50:26.127605
user_83,session_534,page_2458,334,page_view,2025-03-09T20:03:26.127606
user_37,session_952,page_4589,161,page_view,2025-03-09T13:37:26.127608
user_59,session_405,page_3377,358,purchase,2025-03-09T06:03:26.127610
user_69,session_663,page_3730,527,form_submit,2025-03-09T06:06:26.127612
user_30,session_928,page_1794,230,video_play,2025-03-09T08:24:26.127613
user_25,session_562,page_903,302,form_submit,2025-03-09T18:43:26.127615
user_91,session_267,page_4933,548,ad_click,2025-03-09T07:15:26.127617
user_60,session_712,page_3172,495,ad_click,2025-03-09T18:43:26.127619
user_83,session_599,page_782,337,form_submit,2025-03-09T22:05:26.127621
user_96,session_676,page_4693,552,ad_click,2025-03-09T15:53:26.127622
user_25,session_838,page_4500,46,ad_click,2025-03-09T21:05:26.127624
user_11,session_989,page_219,347,purchase,2025-03-09T19:51:26.127626
user_9,session_310,page_186,344,page_view,2025-03-09T23:03:26.127628
user_79,session_722,page_3991,195,video_play,2025-03-09T23:12:26.127630
user_9,session_669,page_4082,32,form_submit,2025-03-09T15:49:26.127632
user_1,session_442,page_3688,69,video_play,2025-03-09T21:23:26.127633
user_54,session_955,page_4628,382,page_view,2025-03-09T03:04:26.127635
user_34,session_47,page_503,390,ad_click,2025-03-09T04:09:26.127637
user_69,session_815,page_2087,171,page_view,2025-03-09T17:32:26.127639
user_15,session_773,page_4107,448,purchase,2025-03-09T12:00:26.127641
user_28,session_609,page_4438,532,ad_click,2025-03-09T05:31:26.127642
