user_id,session_id,pageview_id,session_duration,event_type,event_time
user_89,session_161,page_1897,84,video_play,2025-03-09T16:40:26.128391
user_80,session_719,page_1188,588,video_play,2025-03-09T14:28:26.128394
user_58,session_2,page_1139,307,ad_click,2025-03-09T20:35:26.128396
user_36,session_53,page_2443,442,ad_click,2025-03-09T11:17:26.128398
user_95,session_867,page_3026,379,form_submit,2025-03-09T08:50:26.128400
user_96,session_961,page_1635,82,form_submit,2025-03-09T06:25:26.128402
user_61,session_376,page_976,440,form_submit,2025-03-09T14:03:26.128404
user_28,session_997,page_1133,110,ad_click,2025-03-09T03:40:26.128406
user_50,session_96,page_354,80,form_submit,2025-03-09T02:10:26.128408
user_59,session_807,page_2395,226,page_view,2025-03-10T00:37:26.128410
user_77,session_257,page_2408,363,video_play,2025-03-09T06:50:26.128412
user_40,session_331,page_1325,462,page_view,2025-03-09T14:34:26.128414
user_28,session_449,page_2184,224,purchase,2025-03-09T17:22:26.128416
user_51,session_540,page_290,515,page_view,2025-03-10T00:22:26.128418
user_25,session_576,page_1626,309,purchase,2025-03-09T09:04:26.128419
user_87,session_467,page_4356,356,ad_click,2025-03-09T08:07:26.128421
user_96,session_80,page_2594,119,form_submit,2025-03-09T19:05:26.128423
user_31,session_407,page_4416,508,page_view,2025-03-09T14:28:26.128425
user_10,session_526,page_4555,391,page_view,2025-03-09T05:04:26.128427
user_22,session_285,page_36,477,page_view,2025-03-10T00:28:26.128429
user_86,session_698,page_2851,328,video_play,2025-03-09T00:44:26.128431
user_80,session_868,page_4520,12,purchase,2025-03-09T03:34:26.128433
user_76,session_493,page_1730,104,page_view,2025-03-09T03:19:26.128435
user_90,session_271,page_644,586,purchase,2025-03-09T01:31:26.128437
user_54,session_895,page_3729,54,page_view,2025-03-09T12:01:26.128439
user_22,session_945,page_1044,36,ad_click,2025-03-09T19:30:26.128441
user_80,session_266,page_3981,556,form_submit,2025-03-09T23:41:26.128442
user_64,session_757,page_606,495,form_submit,2025-03-09T20:11:26.128444
user_51,session_122,page_1936,117,video_play,2025-03-09T17:14:26.128446
user_29,session_593,page_901,582,page_view,2025-03-09T21:55:26.128448
user_95,session_301,page_1345,540,form_submit,2025-03-09T20:17:26.128450
user_69,session_61,page_3914,451,page_view,2025-03-09T13:09:26.128452
user_6,session_198,page_696,366,video_play,2025-03-09T09:58:26.128454
user_38,session_233,page_3908,75,video_play,2025-03-09T01:09:26.128456
user_53,session_692,page_378,551,form_submit,2025-03-09T16:10:26.128458
user_42,session_82,page_3879,327,page_view,2025-03-09T07:58:26.128460
